Country,Serious_Assault,Robbery,Bulglary,Theft,trafficking,Kidnapping,Sexual_Violence,Drug Seizures(Cannabis-type),Homicide,,,,,,,,,,,,,,,,,,,Burundi,14,#N/A
Azerbaijan,369,397,"4,989",2854,70,7,123,676.226,201,,,,,,,,,,,,,,,,,,,Hungary,15.97,37
Guatemala,"1,849","3,823","45,429","49,114",333,402,"10,380",603334.5,"5,253",,,,,,,,,,,,,,,,,,,Poland,5.08,20
Ecuador,"6,522","76,747","82,366",30839,68,796,"13,520",14713.147,972,,,,,,,,,,,,,,,,,,,Republic of Moldova,30.49,54
Colombia,"1,22,545","1,19,531","47,176","86,564",52,195,"30,833",239421.05,"12,237",,,,,,,,,,,,,,,,,,,Romania,21.05,41
Republic of Moldova,320,125,"6,122","16,729",232,88,648,4600,141,,,,,,,,,,,,,,,,,,,Russian Federation,24.68,49
El Salvador,"3,745","3,797",261,"8,539",28,15,"4,374",747.23,"3,962",,,,,,,,,,,,,,,,,,,Slovakia,8.71,24
Indonesia,"12,405","10,692","46,277",63539,441,241,"5,513",151670.8969,"1,419",,,,,,,,,,,,,,,,,,,Latvia,10.89,25
Honduras,"2,053","11,393","13,518","3,088",47,20,"1,463",5103.2556,"3,864",,,,,,,,,,,,,,,,,,,Sweden,0.73,#N/A
Tajikistan,"3,735",288,614,"3,669",22,172,201,126173.8,126,,,,,,,,,,,,,,,,,,,Albania,22.78,45
Myanmar,"4,619",179,25,"3,125",355,3,360,198.83,"1,198",,,,,,,,,,,,,,,,,,,Bosnia and Herzegovina,24.2,48
Thailand,"13,677","1,062","3,088","33,042",295,"1,486","3,789",39485.5,"3,307",,,,,,,,,,,,,,,,,,,Croatia,6.14,22
Dominican Republic,"3,142","6,984","6,110",874,25,21,"6,507",5047.51,"1,216",,,,,,,,,,,,,,,,,,,Greece,7.26,23
Uganda,"5,732","6,850","7,697","43,515",79,938,"19,548",8293,"4,735",,,,,,,,,,,,,,,,,,,Italy,1.2,6
Cameroon,"4,458","4,458","3,104","16,290",67,859,703,278.42,276,,,,,,,,,,,,,,,,,,,Montenegro,12.08,27
Egypt,339,"2,673","2,673","87,129",38,273,114,242566,"2,207",,,,,,,,,,,,,,,,,,,Portugal,1.45,8
